SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.38063279002876316;17.46424919657298
117122;GreyMatter;0.404726499912464;4.123105625617661
117122;Hippocampus;0.3008265445679967;18.384776310850235
117122;Thalamus;0.6711802964068664;22.15851980616034
117122;WhiteMatter;0.615740304327765;5.385164807134504
117122-PP;Amygdala;0.38063279002876316;17.46424919657298
117122-PP;GreyMatter;0.404726499912464;4.123105625617661
117122-PP;Hippocampus;0.3008265445679967;18.384776310850235
117122-PP;Thalamus;0.6711802964068664;22.15851980616034
117122-PP;WhiteMatter;0.615740304327765;5.385164807134504
118528;Amygdala;0.29654341580947086;17.69180601295413
118528;GreyMatter;0.37976173188519224;5.477225575051661
118528;Hippocampus;0.21984074717116686;21.118712081942874
118528;Thalamus;0.6286297475275192;20.46948949045872
118528;WhiteMatter;0.6455774442525001;5.830951894845301
118528-PP;Amygdala;0.29654341580947086;17.69180601295413
118528-PP;GreyMatter;0.37976173188519224;5.477225575051661
118528-PP;Hippocampus;0.21984074717116686;21.118712081942874
118528-PP;Thalamus;0.6286297475275192;20.46948949045872
118528-PP;WhiteMatter;0.6455774442525001;5.830951894845301
118730;Amygdala;0.33104187126149454;18.466185312619388
118730;GreyMatter;0.38080124847862873;5.385164807134504
118730;Hippocampus;0.21256470888988305;20.92844953645635
118730;Thalamus;0.6484891647166547;18.384776310850235
118730;WhiteMatter;0.6848567392676169;5.385164807134504
118730-PP;Amygdala;0.33104187126149454;18.466185312619388
118730-PP;GreyMatter;0.38080124847862873;5.385164807134504
118730-PP;Hippocampus;0.21256470888988305;20.92844953645635
118730-PP;Thalamus;0.6484891647166547;18.384776310850235
118730-PP;WhiteMatter;0.6848567392676169;5.385164807134504
118932;Amygdala;0.39437837837837836;17.029386365926403
118932;GreyMatter;0.4262941746584254;4.0
118932;Hippocampus;0.25617803079311685;19.209372712298546
118932;Thalamus;0.6808773403151707;22.58317958127243
118932;WhiteMatter;0.6304592920636116;5.744562646538029
118932-PP;Amygdala;0.39437837837837836;17.029386365926403
118932-PP;GreyMatter;0.4262941746584254;4.0
118932-PP;Hippocampus;0.25617803079311685;19.209372712298546
118932-PP;Thalamus;0.6808773403151707;22.58317958127243
118932-PP;WhiteMatter;0.6304592920636116;5.744562646538029
120111;Amygdala;0.32650388249602397;16.1245154965971
120111;GreyMatter;0.3602680504980831;5.0990195135927845
120111;Hippocampus;0.23985699092616478;20.12461179749811
120111;Thalamus;0.617565234075211;21.095023109728988
120111;WhiteMatter;0.6979174345199307;4.898979485566356
120111-PP;Amygdala;0.32650388249602397;16.1245154965971
120111-PP;GreyMatter;0.3602680504980831;5.0990195135927845
120111-PP;Hippocampus;0.23985699092616478;20.12461179749811
120111-PP;Thalamus;0.617565234075211;21.095023109728988
120111-PP;WhiteMatter;0.6979174345199307;4.898979485566356
122317;Amygdala;0.4048424037517723;18.384776310850235
122317;GreyMatter;0.4169358522578961;4.123105625617661
122317;Hippocampus;0.24938067712634188;18.138357147217054
122317;Thalamus;0.6730012216641781;23.706539182259394
122317;WhiteMatter;0.6432445992180562;5.830951894845301
122317-PP;Amygdala;0.4048424037517723;18.384776310850235
122317-PP;GreyMatter;0.4169358522578961;4.123105625617661
122317-PP;Hippocampus;0.24938067712634188;18.138357147217054
122317-PP;Thalamus;0.6730012216641781;23.706539182259394
122317-PP;WhiteMatter;0.6432445992180562;5.830951894845301
122620;Amygdala;0.3628668171557562;17.916472867168917
122620;GreyMatter;0.4063399954310877;7.280109889280518
122620;Hippocampus;0.21420919656392118;23.08679276123039
122620;Thalamus;0.6635158738312956;20.46948949045872
122620;WhiteMatter;0.6698880379986384;5.830951894845301
122620-PP;Amygdala;0.3628668171557562;17.916472867168917
122620-PP;GreyMatter;0.4063399954310877;7.280109889280518
122620-PP;Hippocampus;0.21420919656392118;23.08679276123039
122620-PP;Thalamus;0.6635158738312956;20.46948949045872
122620-PP;WhiteMatter;0.6698880379986384;5.830951894845301
123117;Amygdala;0.3565874730021598;17.52141546793523
123117;GreyMatter;0.4023704081053948;5.385164807134504
123117;Hippocampus;0.2405721118469463;23.108440016582687
123117;Thalamus;0.6568782361377835;21.095023109728988
123117;WhiteMatter;0.6758790495172832;5.385164807134504
123117-PP;Amygdala;0.3565874730021598;17.52141546793523
123117-PP;GreyMatter;0.4023704081053948;5.385164807134504
123117-PP;Hippocampus;0.2405721118469463;23.108440016582687
123117-PP;Thalamus;0.6568782361377835;21.095023109728988
123117-PP;WhiteMatter;0.6758790495172832;5.385164807134504
123925;Amygdala;0.3951203713699665;16.431676725154983
123925;GreyMatter;0.38634998634998635;4.47213595499958
123925;Hippocampus;0.2495227452623737;20.42057785666214
123925;Thalamus;0.6926578176012201;22.494443758403985
123925;WhiteMatter;0.6352789606059027;5.830951894845301
123925-PP;Amygdala;0.3951203713699665;16.431676725154983
123925-PP;GreyMatter;0.38634998634998635;4.47213595499958
123925-PP;Hippocampus;0.2495227452623737;20.42057785666214
123925-PP;Thalamus;0.6926578176012201;22.494443758403985
123925-PP;WhiteMatter;0.6352789606059027;5.830951894845301
124422;Amygdala;0.428000726348284;17.4928556845359
124422;GreyMatter;0.3817364161729225;5.0990195135927845
124422;Hippocampus;0.23583606187196568;19.748417658131498
124422;Thalamus;0.7131933225632741;17.97220075561143
124422;WhiteMatter;0.6431022431586305;5.196152422706632
124422-PP;Amygdala;0.428000726348284;17.4928556845359
124422-PP;GreyMatter;0.3817364161729225;5.0990195135927845
124422-PP;Hippocampus;0.23583606187196568;19.748417658131498
